,lipid,n,method,ML,R2
508,PE(36:2) ,closest,NA,lasso,-0.0002
509,PE(36:2) ,closest,NA,dummy,-0.0002
510,PE(36:2) ,closest,NA,knn,-0.1587
511,HexCer(t42:0) ,closest,NA,catboost,0.3557
512,HexCer(t42:0) ,closest,NA,xgboost,0.3113
513,HexCer(t42:0) ,closest,NA,lr,0.2559
514,HexCer(t42:0) ,closest,NA,ridge,0.2559
515,HexCer(t42:0) ,closest,NA,knn,0.2197
516,HexCer(t42:0) ,closest,NA,lasso,-0.0002
517,HexCer(t42:0) ,closest,NA,dummy,-0.0002
518,PC 36.2,closest,NA,catboost,0.2003
519,PC 36.2,closest,NA,xgboost,0.1581
520,PC 36.2,closest,NA,lr,0.1329
521,PC 36.2,closest,NA,ridge,0.1329
522,PC 36.2,closest,NA,knn,0.051
523,PC 36.2,closest,NA,lasso,-0.0001
524,PC 36.2,closest,NA,dummy,-0.0001
525,SM 34:1,closest,NA,catboost,0.1424
526,SM 34:1,closest,NA,xgboost,0.0881
527,SM 34:1,closest,NA,lr,0.0593
528,SM 34:1,closest,NA,ridge,0.0593
529,SM 34:1,closest,NA,lasso,-0.0
530,SM 34:1,closest,NA,dummy,-0.0
531,SM 34:1,closest,NA,knn,-0.0551
532,PG(38:2) ,closest,NA,catboost,0.1326
533,PG(38:2) ,closest,NA,xgboost,0.0947
534,PG(38:2) ,closest,NA,lr,0.0802
535,PG(38:2) ,closest,NA,ridge,0.0802
536,PG(38:2) ,closest,NA,lasso,-0.0
537,PG(38:2) ,closest,NA,dummy,-0.0
538,PG(38:2) ,closest,NA,knn,-0.0201
